Severity,Start_Time,Start_Lat,Start_Lng,Weather_Condition,Temperature(F),Visibility(mi),Precipitation(in),Sunrise_Sunset
2,2023-01-01 00:00:00,33.93772915715956,-79.31499267220826,Cloudy,2.0466102839460696,7.439208217388889,0.0,Day
3,2023-01-01 01:00:00,44.38395309483865,-105.91996681179417,Clear,38.43792773479638,6.724281907143164,0.0,Night
2,2023-01-01 02:00:00,33.15667118065188,-98.92781940408841,Cloudy,15.523190631773119,6.019811586543833,0.0,Day
2,2023-01-01 03:00:00,37.94236790528056,-109.87083577755679,Cloudy,4.103341830265704,5.732992067814281,0.0,Day
4,2023-01-01 04:00:00,41.03206049751636,-102.44055170734454,Thunderstorm,4.214202985924329,8.28035558488603,0.12261695858934149,Day
3,2023-01-01 05:00:00,43.05172942231511,-75.74451454780828,Cloudy,-9.085000664801475,7.790511884364255,0.0,Night
2,2023-01-01 06:00:00,32.3469133923334,-80.71387439342064,Cloudy,24.6215445378145,9.213201561074339,0.0,Day
1,2023-01-01 07:00:00,44.781023107455496,-101.31923536283863,Cloudy,28.797415133779886,5.916264428638767,0.0,Night
2,2023-01-01 08:00:00,43.60123477976523,-113.38027079688447,Cloudy,-8.37861135381552,9.23992729964123,0.0,Night
3,2023-01-01 09:00:00,44.44274649341298,-99.00149880501381,Rain,19.296726956547666,7.889555862799281,0.44896350632872706,Day
2,2023-01-01 10:00:00,42.790061393124596,-81.41387971909445,Clear,29.083633388521093,6.331115969898578,0.0,Day
4,2023-01-01 11:00:00,43.16503842050347,-117.80995015210594,Cloudy,8.812002419550112,6.367765702842556,0.0,Night
3,2023-01-01 12:00:00,38.982433738697445,-82.73296594816456,Snow,11.637079142734482,6.951901950719262,0.01127765706239053,Night
2,2023-01-01 13:00:00,42.67965094676073,-86.00450345955161,Cloudy,8.081244995607008,7.300636083333972,0.0,Night
1,2023-01-01 14:00:00,38.01020036794945,-116.76755287560756,Clear,5.782535928323698,5.412525423684413,0.0,Day
2,2023-01-01 15:00:00,38.07325755919747,-88.21798553461102,Rain,14.557086182596038,9.209995828331639,0.27323072262928694,Night
2,2023-01-01 16:00:00,38.43870137851489,-105.06720765154725,Snow,-1.694966993338772,5.60770534662097,0.39507475978588363,Night
2,2023-01-01 17:00:00,44.944768873545804,-111.13573398328272,Clear,12.034384061592949,7.417299215149408,0.0,Night
2,2023-01-01 18:00:00,31.565922602064344,-100.75590243535032,Rain,37.09125621361027,6.914841165954609,0.4299776228843302,Night
2,2023-01-01 19:00:00,42.084149677437296,-109.73061196607628,Snow,-8.629895110139337,7.561435421559715,0.1239894283407228,Night
1,2023-01-01 20:00:00,34.099687846832516,-78.77220608136453,Cloudy,-1.7628292073485614,9.43741258534086,0.0,Night
1,2023-01-01 21:00:00,35.418406238966135,-82.8999747089945,Thunderstorm,28.88511953232105,9.945441699280531,0.0978632586841548,Day
2,2023-01-01 22:00:00,31.20799885959042,-70.96235247978412,Rain,-3.397145504314416,5.101356863413792,0.40842771806480016,Night
1,2023-01-01 23:00:00,35.273606720761045,-93.29625767883005,Rain,3.564044975137273,6.96619715862597,0.4708271242259982,Night
2,2023-01-02 00:00:00,44.86144045705063,-115.53970891122768,Rain,12.74194620221779,9.088052654586217,0.17449012973208822,Night
2,2023-01-02 01:00:00,35.95603892742053,-101.61156891773456,Clear,37.15811288205523,6.633014401309885,0.0,Night
2,2023-01-02 02:00:00,40.0453187995837,-78.06814755391355,Clear,-0.8249406348215267,8.245180879592608,0.0,Day
1,2023-01-02 03:00:00,31.81069782242307,-100.15683945846338,Cloudy,36.15422970021582,9.961296018832304,0.0,Night
3,2023-01-02 04:00:00,43.837458146230155,-97.21624364675553,Clear,25.92622563564263,8.23385644407972,0.0,Day
2,2023-01-02 05:00:00,42.41618069920198,-99.40145686212426,Cloudy,23.557245587158604,5.555956888116345,0.0,Day
2,2023-01-02 06:00:00,35.7944145629542,-108.23106549658077,Fog,26.177126202501604,0.8070392443744719,0.0,Day
3,2023-01-02 07:00:00,35.226949990091484,-116.3402394340815,Snow,-8.437669051533128,9.833287186462648,0.4395729641670798,Day
1,2023-01-02 08:00:00,36.48400505270267,-110.97198380495293,Cloudy,-5.054986946524034,8.562542106494337,0.0,Day
2,2023-01-02 09:00:00,36.01887274281748,-101.80284611393893,Fog,6.74207643701142,1.2489251017445797,0.0,Day
4,2023-01-02 10:00:00,33.87076207121837,-107.72811554039323,Rain,-6.301623342566117,9.742000876727122,0.36950734504516985,Night
3,2023-01-02 11:00:00,44.86269411249019,-91.36324000047424,Cloudy,39.3794854747711,9.84286007524599,0.0,Day
4,2023-01-02 12:00:00,42.15819683557108,-89.30471695440349,Clear,19.02061040725888,9.675583717495787,0.0,Night
3,2023-01-02 13:00:00,34.01884889261325,-91.4966962581446,Cloudy,14.367183557149204,7.0590950115504025,0.0,Night
1,2023-01-02 14:00:00,44.72587201540394,-115.75404820481744,Rain,29.275589244952194,8.948538369844234,0.469633782408589,Night
1,2023-01-02 15:00:00,30.23295207070319,-86.6569840016769,Cloudy,38.84796034059949,8.2708967951703,0.0,Night
2,2023-01-02 16:00:00,36.56846455094126,-100.77102576591768,Rain,37.75650000423873,5.898533329427934,0.2799847298031494,Night
2,2023-01-02 17:00:00,38.542277955918266,-76.09206113709462,Clear,29.653244239434805,7.67757450838577,0.0,Day
1,2023-01-02 18:00:00,30.56379933167467,-93.71928155072533,Rain,8.858711848043825,8.738455045643185,0.19173625299682828,Night
3,2023-01-02 19:00:00,32.41555786055702,-115.77426655710845,Snow,-6.702025421104665,9.479561379826547,0.3679286835607416,Day
2,2023-01-02 20:00:00,33.87196623277946,-119.53909552497214,Rain,-5.081151113545942,9.312991852032766,0.21123136165852316,Day
2,2023-01-02 21:00:00,40.8034058655944,-84.87438538011534,Thunderstorm,-9.942382960270626,5.77329250092741,0.1470340894373432,Day
3,2023-01-02 22:00:00,44.09615293297913,-99.97446318611503,Snow,-9.904857838757206,7.440166232426054,0.3087647832859233,Night
3,2023-01-02 23:00:00,39.36802630301897,-105.60020631609879,Fog,36.8210899466731,0.5952345422220588,0.0,Day
2,2023-01-03 00:00:00,38.439923865154384,-97.6410479536778,Fog,36.350848460374955,1.7817576384773006,0.0,Day
3,2023-01-03 01:00:00,38.05138679963696,-116.38035528884313,Snow,23.377689985240103,5.0096865456843345,0.28709535836419575,Day
3,2023-01-03 02:00:00,35.260554747165024,-100.40078326286785,Rain,26.333836211015125,8.693567688134639,0.35009237667941884,Night
2,2023-01-03 03:00:00,42.41571519205796,-104.26501208488473,Clear,15.66042283250189,8.093207582731328,0.0,Night
1,2023-01-03 04:00:00,38.111511573543886,-79.9905430283826,Cloudy,1.8921128044166213,9.60785736588283,0.0,Night
1,2023-01-03 05:00:00,33.45154768985584,-111.25729961572924,Cloudy,35.719252455440454,7.28458675165869,0.0,Day
2,2023-01-03 06:00:00,32.05246812246117,-82.18415482359319,Clear,3.8845733679675014,8.288361249377504,0.0,Day
2,2023-01-03 07:00:00,44.78268772292804,-94.97987337211649,Clear,26.983563047481724,9.863735152107711,0.0,Day
4,2023-01-03 08:00:00,30.26209822533003,-115.90560254572864,Thunderstorm,2.2717842361939837,8.719518814579544,0.3959739225224844,Day
3,2023-01-03 09:00:00,44.001600449847075,-71.51607258201096,Fog,33.50742090245889,1.7067943995875008,0.0,Day
3,2023-01-03 10:00:00,33.27454951770466,-83.28951753158731,Snow,22.561971721274055,5.837667754863372,0.11073014542071924,Night
4,2023-01-03 11:00:00,39.86324299022471,-106.99528663554776,Cloudy,22.1347510278366,9.10725551479874,0.0,Day
3,2023-01-03 12:00:00,34.52298788397197,-90.91233556995843,Clear,-5.131638162904003,6.673977704868294,0.0,Day
2,2023-01-03 13:00:00,42.897156178197235,-75.0032235093014,Clear,10.97344515846008,8.529590552991374,0.0,Night
